id,Name,Notes,operating_locations,descriptive_name,entity_type_past,established_date,activity_focus,current_status,Infrastructure,Transactions,Discursive_Oil,Role,Actions_Timeline,is_part_of,concessions_grantee,concessions_granter
76,Transmed S.p.A.,,,,,,,,"TransMed (1) G01,TransMed (2) G02,TransMed (3) G03,TransMed (4),TransMed (5),TransMed (6)",,,,,,,
77,ENI,,Internationally,,,10/02/1953,Ente Nazionale Idrocarburi,active,"TransMed (1) G01,TransMed (2) G02,TransMed (3) G03,TransMed (4),TransMed (5),TransMed (6),Oued Zar - El Borma,Makhrouga - Debbech - El Borma,Chouch Saida - El Borma",,,,"Chouech Essaida Production under ENI,Gas Pipeline Oued Zar - El Borma,Makhrouga - El Borma Pipeline Start Year,Agreement signed with TRAPSA,First cargo of Tunisian crude exported to Genoa",,,
78,Sotugat,,Tunisia,Société Tunisienne du Gazoduc Trans-Tunisien,,,,active,"TransMed (1) G01,TransMed (2) G02,TransMed (3) G03,TransMed (4)",,,,,,,
79,ENI Tunisia BV,,Tunisia,,joint venture,01/01/1999,,active,"Djebel Grouz,Makhrouga,Debbech,Laarich,Adam,Oued Zar,Abir,Bochra","Jort n.87 - Djebel Grouz,PERMIS DU SUD Loi n° 60-12 du 26/07/1960,JORT n.52,Oued Zar  Décret-loi n° 2022-59 du 27 Septembre 2022,JORT n. 130 - 29/11/2022,JORT n.55,Jort n.120 Abir & Bochra",,,"Establishment Date - Djebel Grouz,Beginning of production - Makhrouga,Laarich Production,Start of Production - Oued Zar,Oued Zar Extension,Abir & Bochra Establishment",ENI,"Permis du Sud 1960,Borj El Khadra",
80,Winstar,,Tunisia,,private company,,,acquired,"Sanhar oil field,Chouech Essaida",Jort n.6 Chouech Essaida,,,"Sanhar - Date of establishment,Chouech Es Saida took over by Athanor",Serinus BV,Permis du Sud 1972,
81,OMV,,Internationally,,private company,,,active,"Adam,Cherouq,Jinane,Abir,Bochra,Benefsej Sud,Aziza,Shalbia,South Tunisia Gas Project Pipeline","Jenein Nord  Loi n° 96-106 du 09/12/96,JORT n.34 Extension Cherouq,Jort n.43 Jinane,Jenein Nord  Loi n° 96-106 du 09/12/1996,Jort n.120 Abir & Bochra,Jenein Sud  Décret n° 2004-1105 du  13/05/2004,Jort n.17 Nawara,Jort n.70 Banafsej Sud,JORT n.95 Aziza,JORT n.84 Shalbia",,,"Cherouq Extension,Jinane Establishment,Abir & Bochra Establishment,Nawara Establishment,Establishment Banafsej Sud,Aziza Establishment,Shalbia Establishment,Nawara gas and condensate field was discovered",,"Jenein Nord 1996,Jenein Sud 2004",
82,MedcoEnergi,,Internationally,,private company,,,active,Adam,,,,,,,
83,Serinus BV,,,,,,,,Chouch Saida - El Borma,,,,Chouech Es Saida took over by Athanor,,,
84,Thani Tunisia Anaguid,,,,,,,,,,,,,,,
85,ATOG Sahara Limited,,Tunisia,Anglo Tunisian Oil & Gas,,,Oil and Gas North Africa,active,"Abir,Bochra",,,,Abir & Bochra Establishment,,,
86,Bouchamaoui Industries,,Tunisia,,,,Pipelines manufacturer,active,Oued Zar - El Borma,,,,Gas Pipeline Oued Zar - El Borma,,,
87,TRAPSA,Partially state-owned,Tunisia,Compagnie des Transports par Pipelines au Sahara,private company,,,active,In Amenas - El Borma - La Skhirra,,,,,,,
